#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-09-11T18:58:42 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5b9803da1060
#INFO	-out.max=unlimited
#INFO	queryParameters=22
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:B/cb&tab:{B/cb/cbdata}&key:source=B/cb/cbdata&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/cb/cbdata
#-order=I
#-out=Name
#-out=AltName
#-out=RAJ2000
#-out=DEJ2000
#-out=Type1
#-out=Type2
#-out=mag1
#-out=Orb.Per
#-out=SpType2
#-out=SpType1
#-out=Refs
#Refs=Refs
#Simbad=Simbad
#

#RESOURCE=yCat_102018
#Name: B/cb
#Title: Cataclysmic Binaries, LMXBs, and related objects (Ritter+, 2004)
#Table	B_cb_cbdata:
#Name: B/cb/cbdata
#Title: Catalogue of Cataclysmic Binaries
#Column	Name	(a12)	Object name (G1)	[ucd=meta.id,meta.main]
#Column	AltName	(a12)	A frequently used alternative name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right Ascension J2000	[ucd=pos.eq.ra,meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec,meta.main]
#Column	Type1	(A2)	Object type (3)	[ucd=src.class]
#Column	Type2	(A2)	Object type (3)	[ucd=src.class]
#Column	mag1	(F4.1)	? Apparent V (or B, b, F, g, I, J, j, K, p, R, r, v, w = "white light") magnitude at maximum brightness (4)	[ucd=phot.mag,em.opt.V]
#Column	Orb.Per	(F9.6)	? Orbital period (in days)	[ucd=time.period]
#Column	SpType2	(A7)	Spectral type of the secondary (G6)	[ucd=src.spType]
#Column	SpType1	(a7)	Spectral type of the primary (G6)	[ucd=src.spType]
#Column	Refs	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
# , ,"h:m:s","d:m:s", , ,mag,d, , ,
Name,AltName,RAJ2000,DEJ2000,Type1,Type2,mag1,Orb_Per,SpType2,SpType1,Refs
V1223 Sgr   ,            ,18 55 02.2,-31 09 49,NL,IP,12.3, 0.140244,       ,       ,Refs
V1432 Aql   ,J1940-1025  ,19 40 11.5,-10 25 25,NL,AM,14.9, 0.140236,M4/5   ,       ,Refs
RR Cha      ,N Cha 1935  ,13 26 24.2,-82 19 43,Na,SH,18.9, 0.140100,       ,       ,Refs
J1751-2934  ,            ,17 51 22.7,-29 34 36,NL,AM,18.8, 0.140000,       ,       ,Refs
BO Cet      ,            ,02 06 39.2,-02 03 43,NL,SW,13.5, 0.139800,       ,       ,Refs
BY Cam      ,H 0538+608  ,05 42 48.9,+60 51 32,NL,AM,14.0, 0.139753,       ,       ,Refs
V1315 Aql   ,KPD 1911+121,19 13 54.5,+12 18 03,NL,UX,14.3, 0.139690,       ,       ,Refs
TT Tri      ,            ,01 31 59.7,+29 49 22,NL,UX,15.6, 0.139637,       ,       ,Refs
V1500 Cyg   ,N Cyg 1975  ,21 11 36.6,+48 09 02,Na,NL,19.2, 0.139613,       ,       ,Refs
WX Ari      ,PG 0244+104 ,02 47 36.2,+10 35 39,NL,UX,15.3, 0.139351,       ,       ,Refs
J0733+2619  ,            ,07 33 46.3,+26 19 26,NL,AM,17.4, 0.139095,       ,       ,Refs
DY Pup      ,N Pup 1902  ,08 13 48.4,-26 33 57,Nb,  ,19.6, 0.139000,       ,       ,Refs
V378 Peg    ,            ,23 40 04.3,+30 17 47,NL,NS,13.8, 0.138580,       ,       ,Refs
V1668 Cyg   ,N Cyg 1978  ,21 42 35.2,+44 01 55,Na,  ,19.7, 0.138400,       ,       ,Refs
V728 Sco    ,N Sco 1862  ,17 39 05.6,-45 27 14,Na,  ,17.0, 0.138340,       ,       ,Refs
V603 Aql    ,N Aql 1918  ,18 48 54.6,+00 35 03,Na,SH,11.4, 0.138201,       ,       ,Refs
TT Ari      ,            ,02 06 53.1,+15 17 43,VY,SW, 9.5, 0.137550,M3.5/5 ,       ,Refs
V5585 Sgr   ,N Sgr 2010  ,18 07 27.0,-29 00 44,Na,  ,21.8, 0.137526,       ,       ,Refs
J0229-3959  ,            ,02 29 16.9,-39 59 20,NL,VY,12.8, 0.137000,       ,       ,Refs
2133+0513   ,            ,21 35 59.3,+05 27 00,NL,VY,16.9, 0.137000,       ,       ,Refs
J0756+0858  ,            ,07 56 53.1,+08 58 32,NL,UX,16.5, 0.136974,       ,       ,Refs
J2142-6748  ,            ,21 42 17.3,-67 48 01,DN,  ,17.4, 0.136710,       ,       ,Refs
OZ Dra      ,            ,13 27 23.4,+65 28 54,NL,UX,17.8, 0.136632,       ,       ,Refs
DW UMa      ,PG 1030+590 ,10 33 53.0,+58 46 55,NL,SW,13.6, 0.136607,M3-9   ,       ,Refs
J1206+5100  ,            ,12 06 15.7,+51 00 47,NL,LA,19.9, 0.136600,M3-4/5 ,DC     ,Refs
XX Tau      ,N Tau 1927  ,05 19 24.5,+16 43 00,Na,  ,18.6, 0.136000,       ,       ,Refs
OR And      ,            ,23 04 37.4,+49 27 24,NL,VY,14.5, 0.135900,       ,       ,Refs
HL Aqr      ,PHL 227     ,22 20 26.9,+02 00 54,NL,UX,13.3, 0.135570,       ,       ,Refs
V393 Hya    ,1057-2935   ,11 00 17.5,-29 51 59,NL,  ,15.9, 0.135000,       ,       ,Refs
SW Sex      ,PG 1012-029 ,10 15 09.4,-03 08 34,NL,UX,14.3, 0.134938,       ,       ,Refs
Aqr 1       ,            ,22 38 43.8,+01 08 21,NL,IP,18.1, 0.134930,       ,       ,Refs
J2342+3248  ,            ,23 42 26.2,+32 48 20,NL,SW,17.9, 0.134826,       ,       ,Refs
BG CMi      ,3A 0729+103 ,07 31 29.0,+09 56 23,NL,IP,14.3, 0.134748,       ,       ,Refs
V1494 Aql   ,N Aql 1999#2,19 23 05.4,+04 57 20,Na,  ,17.6, 0.134616,       ,       ,Refs
V482 Cam    ,            ,07 33 41.4,+67 32 16,NL,SW,15.7, 0.133619,       ,       ,Refs
V4742 Sgr   ,N Sgr 2002#2,18 02 21.9,-25 20 32,Na,IP,19.0, 0.133616,       ,       ,Refs
J0809+3814  ,            ,08 09 08.4,+38 14 06,NL,SW,15.6, 0.133616,       ,       ,Refs
J0753+0445  ,            ,07 53 30.8,+04 45 56,NL,VY,14.6, 0.133000,       ,       ,Refs
J0734-1706  ,            ,07 34 18.6,-17 06 27,NL,SW,17.8, 0.132726,       ,       ,Refs
J0837+3830  ,            ,08 37 51.0,+38 30 12,NL,AM,18.9, 0.132500,M5/5   ,       ,Refs
MV Lyr      ,            ,19 07 16.3,+44 01 08,NL,VY,11.8, 0.132335,M5/5   ,       ,Refs
V519 Ser    ,            ,16 10 07.5,+03 52 33,NL,AM,16.5, 0.132274,M4-5/5 ,       ,Refs
V1033 Cen   ,J1141-6410  ,11 41 22.9,-64 10 14,NL,AM,16.5, 0.131518,       ,       ,Refs
J1453-5521  ,            ,14 53 41.2,-55 21 37,NL,AM,14.5, 0.131517,       ,       ,Refs
V339 Del    ,N Del 2013  ,20 23 30.7,+20 46 04,Na,  ,17.4, 0.131400,       ,       ,Refs
J0759+1914  ,            ,07 59 39.8,+19 14 17,DN,AM,18.2, 0.130934,       ,       ,Refs
J0130+6221  ,            ,01 30 31.9,+62 21 32,DN,  ,17.5, 0.130062,       ,       ,Refs
DK Lac      ,N Lac 1950  ,22 49 47.0,+53 17 20,Na,VY,16.8, 0.129600,       ,       ,Refs
AM Her      ,            ,18 16 13.3,+49 52 04,NL,AM,12.0, 0.128927,M4/5   ,       ,Refs
KQ Mon      ,            ,07 31 21.1,-10 21 50,NL,UX,13.0, 0.128000,       ,       ,Refs
DN Gem      ,N Gem 1912  ,06 54 54.4,+32 08 27,Na,  ,16.0, 0.127844,       ,       ,Refs
AH Men      ,H 0616-818  ,06 11 44.1,-81 49 24,NL,SW,13.2, 0.127210,       ,       ,Refs
BX Pup      ,            ,07 54 15.6,-24 19 36,DN,ZC,16.6, 0.127000,       ,       ,Refs
J0921-5939  ,            ,09 21 34.1,-59 39 07,  ,  ,17.3, 0.126700,       ,       ,Refs
CW Hyi      ,            ,02 30 51.1,-68 42 05,NL,AM,16.0, 0.126250,       ,       ,Refs
2141+1231   ,            ,21 43 54.6,+12 44 50,NL,  ,16.2, 0.126000,       ,       ,Refs
V4633 Sgr   ,N Sgr 1998  ,18 21 40.5,-27 31 38,Na,NL,18.7, 0.125567,       ,       ,Refs
J2319+2615  ,            ,23 19 30.3,+26 15 19,NL,AM,16.5, 0.125440,       ,       ,Refs
LQ Peg      ,PG 2133+115 ,21 36 19.1,+11 40 55,NL,VY,14.4, 0.124747,       ,       ,Refs
J1753-3324  ,            ,17 53 08.4,-33 24 23,NL,UX,18.4, 0.124641,       ,       ,Refs
V442 Oph    ,            ,17 32 15.1,-16 15 22,NL,VY,12.6, 0.124330,       ,       ,Refs
J1754-3006  ,            ,17 54 13.8,-30 06 13,NL,UX,17.4, 0.123985,       ,       ,Refs
V5116 Sgr   ,N Sgr 2005#2,18 17 50.8,-30 26 32,Na,  ,18.7, 0.123744,       ,       ,Refs
DM Gem      ,N Gem 1903#1,06 44 12.1,+29 56 42,Na,SW,16.7, 0.122800,       ,       ,Refs
J1042-6211  ,            ,10 42 02.4,-62 11 54,DN,SU,19.7, 0.122000,       ,       ,Refs
J0813+2813  ,            ,08 13 52.0,+28 13 17,NL,VY,17.1, 0.122000,       ,       ,Refs
J2250+5731  ,            ,22 50 37.0,+57 31 54,NL,AM,20.3, 0.121000,       ,       ,Refs
J0545+0221  ,N Ori 483   ,05 45 58.3,+02 21 06,DN,UG,17.9, 0.120972,M2-3/5 ,       ,Refs
V1084 Her   ,J1643+3402  ,16 43 45.7,+34 02 40,NL,SW,12.5, 0.120560,       ,       ,Refs
J1751-2933#1,            ,17 51 51.2,-29 33 10,NL,AM,22.3, 0.119700,       ,       ,Refs
NGC 104-W8  ,            ,00 24 10.5,-72 04 26,CV,  ,21.7, 0.119270,       ,       ,Refs
HY Eri      ,J0501-0359  ,05 01 46.3,-03 59 21,NL,AM,17.5, 0.118969,       ,       ,Refs
V351 Pup    ,N Pup 1991  ,08 11 38.3,-35 07 31,Na,  ,17.9, 0.118200,       ,       ,Refs
V630 Sgr    ,N Sgr 1936#4,18 08 48.4,-34 20 22,Na,SH,17.0, 0.117930,       ,       ,Refs
J1741-2758  ,            ,17 41 42.4,-27 58 30,NL,  ,19.4, 0.117860,       ,       ,Refs
J2102+3359  ,            ,21 02 01.4,+33 59 30,NL,AM,16.6, 0.117800,       ,       ,Refs
V2214 Oph   ,N Oph 1988  ,17 12 01.6,-29 37 33,Na,  ,20.5, 0.117515,       ,       ,Refs
J1432+1914  ,            ,14 32 09.8,+19 14 04,CV,  ,18.4, 0.117400,       ,       ,Refs
TU Men      ,            ,04 41 40.7,-76 36 46,DN,SU,18.5, 0.117200,       ,       ,Refs
V5627 Sgr   ,            ,18 01 56.3,-27 22 56,DN,  ,16.1, 0.117161,       ,       ,Refs
WX LMi      ,1023+3900   ,10 26 27.5,+38 45 04,NL,AM,    , 0.115924,M4.5/5 ,       ,Refs
V592 Cas    ,LS I 55-8   ,00 20 52.2,+55 42 17,UX,SH,12.5, 0.115063,       ,       ,Refs
J1924+4459  ,            ,19 24 10.8,+44 59 35,NL,SW,15.2, 0.114379,M/5    ,DA     ,Refs
EU Lyn      ,            ,07 52 40.5,+36 28 23,NL,AM,17.8, 0.114000,       ,       ,Refs
V515 And    ,            ,00 55 19.9,+46 12 57,NL,IP,14.3, 0.113795,       ,       ,Refs
V405 Vul    ,J1953+2114  ,19 53 05.0,+21 14 49,DN,SU,19.0, 0.113000,       ,       ,Refs
2114-6437   ,            ,21 18 49.9,-64 25 13,CV,  ,14.9, 0.111800,       ,       ,Refs
QU Vul      ,N Vul 1984#2,20 26 46.0,+27 50 43,Na,  ,19.4, 0.111765,       ,       ,Refs
KZ Gem      ,            ,06 53 02.5,+16 39 59,DN,UG,16.8, 0.111220,       ,       ,Refs
V597 Pup    ,N Pup 2007  ,08 16 18.0,-34 15 25,Na,NL,20.0, 0.111190,       ,       ,Refs
V349 Pav    ,DR V211b    ,20 08 55.8,-65 27 43,NL,AM,18.0, 0.110900,       ,       ,Refs
PZ Vir      ,J1324+0320  ,13 24 11.6,+03 20 51,NL,AM,20.5, 0.110220,M6     ,       ,Refs
CI Gem      ,N Gem 1940  ,06 30 05.9,+22 18 51,DN,SU,21.7, 0.110000,       ,       ,Refs
CS Ind      ,NSV 13983   ,21 59 54.6,-68 50 36,DN,  ,17.8, 0.110000,       ,       ,Refs
J1721+44    ,            ,17 21 00.0,+44 00 00,NL,IP,17.6, 0.110000,       ,       ,Refs
J0524+4244  ,Paloma      ,05 24 30.5,+42 44 51,NL,AM,16.5, 0.109148,       ,       ,Refs
AX Cap      ,            ,20 08 57.0,-17 16 38,DN,SU,21.5, 0.109000,       ,       ,Refs
V795 Her    ,PG 1711+336 ,17 12 56.1,+33 31 21,NL,SH,12.7, 0.108247,       ,       ,Refs
V Per       ,N Per 1887  ,02 01 53.9,+56 44 04,N ,NL,18.1, 0.107123,       ,       ,Refs
V2491 Cyg   ,N Cyg 2008  ,19 43 02.0,+32 19 14,Na,IP,20.0, 0.106700,       ,       ,Refs
J2039-0429  ,            ,20 39 37.7,-04 29 08,DN,SU,19.0, 0.105722,       ,       ,Refs
AP CrB      ,J1554+2721  ,15 54 12.3,+27 21 52,NL,AM,17.0, 0.105462,M4/5   ,       ,Refs
V654 Aur    ,            ,07 29 10.7,+36 58 38,NL,AM,    , 0.104000,       ,       ,Refs
V434 Gem    ,            ,07 48 13.5,+29 05 09,NL,  ,18.6, 0.104000,       ,       ,Refs
J0659+2525  ,            ,06 59 21.7,+25 25 55,CV,  ,20.5, 0.104000,       ,       ,Refs
J1627+1204  ,            ,16 27 18.5,+12 04 35,DN,SU,19.2, 0.104000,       ,       ,Refs
J1908+42    ,            ,19 08 00.0,+42 00 00,NL,IP,18.5, 0.103000,       ,       ,Refs
IM Nor      ,N Nor 1920  ,15 39 26.5,-52 19 18,Nr,  ,19.0, 0.102600,       ,       ,Refs
J1340+1513  ,            ,13 40 52.1,+15 13 41,DN,  ,18.3, 0.102100,K2-4/5 ,       ,Refs
V348 Pup    ,1H 0709-360 ,07 12 32.9,-36 05 40,NL,SW,15.5, 0.101839,       ,       ,Refs
V1363 Cyg   ,            ,20 06 11.5,+33 42 38,DN,UG,17.6, 0.101000,       ,       ,Refs
J0011-0647  ,            ,00 11 53.1,-06 47 39,DN,UG,17.0, 0.100281,       ,K1/4-5 ,Refs
V1239 Her   ,            ,17 02 13.3,+32 29 54,DN,SU,17.4, 0.100082,M1.5/5 ,       ,Refs
J1543-5227  ,CBS 7       ,15 43 05.5,-52 27 10,NL,AM,16.8, 0.100000,       ,       ,Refs
J1753-2921  ,            ,17 53 10.0,-29 21 21,DN,SU,18.6, 0.100000,       ,       ,Refs
J0859+0536  ,            ,08 59 09.2,+05 36 55,NL,AM,15.6, 0.099860,       ,       ,Refs
MN Dra      ,Var 73 Dra  ,20 23 38.3,+64 36 27,DN,SU,19.2, 0.099800,       ,       ,Refs
J1619+0319  ,            ,16 19 53.3,+03 19 09,DN,  ,17.3, 0.099401,       ,       ,Refs
V351 UMa    ,            ,12 44 26.3,+61 35 15,CV,  ,18.8, 0.099200,       ,       ,Refs
V1006 Cyg   ,            ,19 48 47.2,+57 09 22,DN,SU,17.8, 0.099030,       ,       ,Refs
J1751-2929#2,            ,17 51 31.6,-29 29 56,NL,AM,23.1, 0.098800,       ,       ,Refs
NGC 104-W71 ,            ,00 24 10.6,-72 05 16,CV,  ,20.9, 0.098770,       ,       ,Refs
J1128-3448  ,            ,11 28 15.4,-34 48 08,DN,SU,18.0, 0.098500,       ,       ,Refs
J1830+1233  ,            ,18 30 01.8,+12 33 48,DN,SU,16.7, 0.098022,       ,       ,Refs
NY Ser      ,PG 1510+234 ,15 13 02.3,+23 15 08,DN,SU,18.7, 0.097800,       ,       ,Refs
DD Cir      ,N Cir 1999  ,14 23 23.5,-69 08 45,Na,IP,20.0, 0.097460,       ,       ,Refs
QS Tel      ,J1938-4612  ,19 38 35.7,-46 12 57,NL,AM,15.2, 0.097187,M4.5/5 ,       ,Refs
J1749+1913  ,            ,17 49 02.1,+19 13 30,DN,SU,20.3, 0.097000,       ,       ,Refs
J0625-0247  ,            ,06 25 01.7,-02 47 59,DN,SU,20.1, 0.096000,       ,       ,Refs
J0814+0907  ,            ,08 14 08.4,+09 07 59,DN,SU,20.7, 0.096000,       ,       ,Refs
V516 Pup    ,J0803-4748  ,08 03 45.5,-47 48 45,NL,AM,16.2, 0.095200,       ,       ,Refs
DV Sco      ,            ,16 50 27.9,-28 07 59,DN,SU,18.4, 0.095000,       ,       ,Refs
J0648+0656  ,            ,06 48 33.5,+06 56 23,DN,SU,18.5, 0.095000,       ,       ,Refs
V444 Peg    ,            ,21 37 01.8,+07 14 46,DN,SU,19.4, 0.094700,       ,       ,Refs
J1425+1515  ,            ,14 25 48.1,+15 15 01,DN,SU,21.8, 0.094000,       ,       ,Refs
V725 Aql    ,            ,19 56 45.1,+10 49 32,DN,SU,19.3, 0.093900,       ,       ,Refs
KT Eri      ,N Eri 2009  ,04 47 54.2,-10 10 43,Na,Nr,14.5, 0.093800,       ,       ,Refs
J0038+2509  ,            ,00 38 27.0,+25 09 25,DN,SU,18.7, 0.093800,       ,       ,Refs
J0750+1411  ,            ,07 51 00.0,+14 11 50,DN,  ,18.8, 0.093165,       ,       ,Refs
V381 Vel    ,J1016-4103  ,10 16 58.9,-41 03 45,NL,AM,    , 0.093100,M4.5/5:,       ,Refs
V1189 Her   ,            ,16 29 36.5,+26 35 20,NL,AM,18.8, 0.093000,       ,       ,Refs
J0153+3408  ,            ,01 53 21.5,+34 08 56,DN,SU,21.1, 0.093000,       ,       ,Refs
J0446+4857  ,            ,04 46 33.7,+48 57 56,DN,SU,18.1, 0.093000,       ,       ,Refs
J1200-1526  ,            ,12 00 52.9,-15 26 21,DN,SU,18.3, 0.093000,       ,       ,Refs
J1847+5300  ,            ,18 47 02.6,+53 00 31,DN,SU,    , 0.093000,       ,       ,Refs
J2147+2445  ,            ,21 47 38.4,+24 45 54,DN,SU,18.4, 0.092730,       ,       ,Refs
UW Pic      ,J0531-4624  ,05 31 35.6,-46 24 06,NL,AM,16.4, 0.092640,M4.5/5 ,       ,Refs
J1503-2207  ,            ,15 03 54.0,-22 07 11,NL,AM,16.4, 0.092620,       ,       ,Refs
AD Men      ,            ,06 04 30.9,-71 25 23,DN,SU,15.5, 0.092200,       ,       ,Refs
J1536+3328  ,            ,15 36 34.4,+33 28 52,DN,SU,19.2, 0.092100,       ,       ,Refs
J1333+1437  ,            ,13 33 09.2,+14 37 07,NL,AM,18.5, 0.092000,       ,       ,Refs
J2054-1940  ,            ,20 54 08.2,-19 40 27,DN,SU,20.3, 0.092000,       ,       ,Refs
J1625+1203  ,            ,16 25 20.3,+12 03 09,DN,SU,18.5, 0.091433,M/5    ,       ,Refs
J0846+3115  ,            ,08 46 16.9,+31 15 55,DN,SU,21.8, 0.091380,       ,       ,Refs
HU Leo      ,            ,09 24 44.5,+08 01 51,NL,AM,19.3, 0.091141,M2/5   ,       ,Refs
J1316-1513  ,            ,13 16 25.7,-15 13 13,DN,SU,20.5, 0.091000,       ,       ,Refs
V589 Her    ,            ,16 22 07.2,+19 22 36,DN,SU,17.5, 0.090500,       ,       ,Refs
GV Psc      ,            ,01 13 06.7,+21 52 51,DN,SU,20.5, 0.090000,       ,       ,Refs
J2218+1925  ,            ,22 18 32.7,+19 25 21,NL,AM,17.9, 0.090000,       ,       ,Refs
J2242-1945  ,            ,22 42 58.0,-19 45 52,DN,SU,19.7, 0.090000,       ,       ,Refs
UV Gem      ,            ,06 38 44.1,+18 16 11,DN,SU,18.8, 0.089500,       ,       ,Refs
MT Dra      ,J1846+5538  ,18 46 58.9,+55 38 29,NL,AM,20.0, 0.089387,       ,       ,Refs
BT CrB      ,            ,15 56 56.9,+35 23 37,DN,  ,18.9, 0.089200,       ,       ,Refs
GX Cas      ,            ,00 49 01.5,+56 52 45,DN,SU,18.5, 0.089000,       ,       ,Refs
J0259+4457  ,            ,02 59 38.3,+44 57 05,DN,SU,21.3, 0.089000,       ,       ,Refs
V1258 Cen   ,            ,13 00 29.1,-30 52 57,DN,SU,18.0, 0.088941,       ,       ,Refs
J2234+0041  ,            ,22 34 39.9,+00 41 27,DN,  ,18.3, 0.088400,       ,       ,Refs
GZ Cnc      ,            ,09 15 51.7,+09 00 50,DN,SU,15.4, 0.088100,       ,       ,Refs
J2234-0355  ,            ,22 34 18.4,-03 55 30,DN,SU,21.0, 0.088100,       ,       ,Refs
J0637-2541  ,            ,06 37 47.5,-25 41 20,DN,SU,19.6, 0.088000,       ,       ,Refs
J0939+6956  ,            ,09 39 55.7,+69 56 46,DN,SU,20.5, 0.088000,       ,       ,Refs
J1557+1807  ,            ,15 57 20.7,+18 07 20,DN,  ,18.7, 0.088000,       ,       ,Refs
J1623+7826  ,            ,16 23 23.4,+78 26 03,DN,SU,19.1, 0.088000,       ,       ,Refs
V344 Lyr    ,            ,18 44 39.2,+43 22 28,DN,SU,19.5, 0.087904,       ,       ,Refs
UZ For      ,EXO 0333-255,03 35 28.6,-25 44 23,NL,AM,15.5, 0.087865,M4.5/5 ,       ,Refs
J0738+2855  ,            ,07 38 17.8,+28 55 20,CV,  ,19.6, 0.087500,       ,       ,Refs
J0325-0814  ,            ,03 25 39.4,-08 14 43,NL,AM,14.5, 0.087193,M2-5/5 ,       ,Refs
EU Cnc      ,            ,08 51 27.2,+11 46 57,NL,AM,20.1, 0.087100,M5/5   ,       ,Refs
J0723+5050  ,            ,07 23 12.7,+50 50 08,DN,SU,19.0, 0.087051,       ,       ,Refs
IR Com      ,S 10932 Com ,12 39 32.0,+21 08 06,DN,  ,16.9, 0.087039,M6-7/5 ,DA     ,Refs
J0038+7921  ,            ,00 38 37.5,+79 21 37,DN,SU,19.2, 0.087000,       ,       ,Refs
J2126+2538  ,            ,21 26 24.2,+25 38 27,DN,SU,19.3, 0.087000,       ,       ,Refs
J2212+1601  ,            ,22 12 32.0,+16 01 40,DN,SU,20.3, 0.087000,       ,       ,Refs
J1331-3155  ,            ,13 31 35.2,-31 55 41,NL,AM,    , 0.086839,       ,       ,Refs
HU Aqr      ,J2107-0517  ,21 07 58.3,-05 17 39,NL,AM,14.5, 0.086820,M4/5   ,       ,Refs
YZ Cnc      ,            ,08 10 56.6,+28 08 34,DN,SU,15.0, 0.086800,       ,       ,Refs
J1740-2847  ,            ,17 40 09.1,-28 47 26,NL,IP,18.4, 0.086800,       ,       ,Refs
J0614-2725  ,            ,06 14 51.7,-27 25 35,NL,AM,    , 0.086600,       ,       ,Refs
J1743-0429  ,            ,17 43 20.3,-04 29 57,NL,AM,15.1, 0.086600,       ,       ,Refs
V419 Lyr    ,            ,19 10 13.9,+29 06 14,DN,SU,18.0, 0.086400,       ,       ,Refs
J0009-1210  ,            ,00 09 38.2,-12 10 16,DN,SU,19.9, 0.086200,       ,       ,Refs
J1751-2929#1,            ,17 51 29.1,-29 29 24,NL,AM,22.2, 0.086200,       ,       ,Refs
V823 Cyg    ,            ,20 01 49.3,+36 07 24,DN,SU,18.9, 0.086000,       ,       ,Refs
J0039+2713  ,            ,00 39 00.5,+27 13 46,DN,SU,22.1, 0.086000,       ,       ,Refs
J0459+7711  ,            ,04 59 55.7,+77 11 18,DN,SU,20.8, 0.086000,       ,       ,Refs
J0959-1601  ,            ,09 59 26.5,-16 01 47,DN,SU,20.3, 0.086000,       ,       ,Refs
J1047-6041  ,            ,10 47 57.2,-60 41 23,DN,SU,22.7, 0.086000,       ,       ,Refs
GQ CVn      ,            ,12 43 12.1,+43 32 00,DN,SU,21.1, 0.086000,       ,       ,Refs
J1556-0804  ,            ,15 56 31.0,-08 04 40,DN,SU,19.9, 0.086000,       ,       ,Refs
J2203+3056  ,            ,22 03 28.2,+30 56 37,DN,SU,20.1, 0.086000,       ,       ,Refs
DV UMa      ,US 943      ,09 46 36.7,+44 46 45,DN,SU,18.3, 0.085853,M4.5/5 ,       ,Refs
V452 Cas    ,            ,00 52 18.1,+53 51 50,DN,SU,20.0, 0.085700,       ,       ,Refs
V713 Cep    ,            ,20 46 38.7,+60 38 04,DN,SU,18.0, 0.085418,       ,       ,Refs
NGC 6656-CV2,            ,18 36 02.7,-23 55 25,DN,SU,19.2, 0.085200,       ,       ,Refs
J0841+2100  ,            ,08 41 27.4,+21 00 54,DN,SU,20.6, 0.085000,       ,       ,Refs
J1639+1224  ,            ,16 39 42.7,+12 24 14,DN,SU,20.5, 0.085000,       ,       ,Refs
J1805-2743  ,            ,18 05 07.1,-27 43 09,DN,  ,17.6, 0.085000,       ,       ,Refs
J2126+2019  ,            ,21 26 25.1,+20 19 46,DN,SU,20.0, 0.085000,       ,       ,Refs
J0519+1554  ,            ,05 19 22.9,+15 54 35,DN,  ,19.4, 0.084900,       ,       ,Refs
V1901 Aql   ,            ,20 31 37.6,-00 05 12,NL,AM,    , 0.084810,       ,       ,Refs
J0328+0522  ,            ,03 28 55.0,+05 22 54,NL,AM,18.0, 0.084700,       ,       ,Refs
KK Tel      ,            ,20 28 38.5,-52 18 45,DN,SU,19.2, 0.084500,       ,       ,Refs
NSV 5285    ,            ,11 39 50.6,+45 58 18,DN,SU,20.0, 0.084500,       ,       ,Refs
J1417-1803  ,            ,14 17 12.0,-18 03 28,DN,  ,19.7, 0.084500,       ,       ,Refs
TY PsA      ,PS 74       ,22 49 39.9,-27 06 54,DN,SU,15.9, 0.084230,       ,       ,Refs
BF Ara      ,            ,17 38 21.3,-47 10 41,DN,SU,16.0, 0.084180,       ,       ,Refs
V516 Lyr    ,            ,19 20 35.7,+37 44 52,DN,SU,20.5, 0.084000,       ,       ,Refs
EF Peg      ,            ,21 15 04.1,+14 03 49,DN,SU,18.5, 0.083700,M5/5   ,       ,Refs
V2951 Oph   ,            ,17 30 06.5,+03 38 20,NL,AM,16.5, 0.083478,M3/5   ,       ,Refs
QU Aqr      ,            ,21 00 14.1,+00 44 46,DN,SU,18.8, 0.083304,       ,       ,Refs
V1007 Her   ,J1724+4114  ,17 24 06.3,+41 14 09,NL,AM,17.6, 0.083284,       ,       ,Refs
QZ Ser      ,            ,15 56 54.5,+21 07 20,DN,SU,15.7, 0.083161,K2-6   ,       ,Refs
MT Com      ,            ,12 55 10.7,+26 42 26,DN,ZZ,17.2, 0.083000,       ,       ,Refs
J1748+5050  ,            ,17 48 27.9,+50 50 40,DN,SU,19.9, 0.083000,       ,       ,Refs
J1753-6417  ,            ,17 53 51.3,-64 17 40,DN,SU,20.8, 0.083000,       ,       ,Refs
J2320+4443  ,            ,23 20 22.4,+44 43 31,DN,SU,21.0, 0.083000,       ,       ,Refs
J2258-0949  ,            ,22 58 31.2,-09 49 32,DN,SU,15.6, 0.082900,       ,       ,Refs
BG Ari      ,            ,01 51 51.9,+14 00 47,DN,SU,20.3, 0.082420,       ,       ,Refs
HV Aur      ,            ,04 53 16.8,+38 16 29,DN,SU,19.0, 0.082400,       ,       ,Refs
V364 Peg    ,            ,21 12 29.7,+12 32 04,DN,SU,19.0, 0.082200,       ,       ,Refs
TU Crt      ,            ,11 03 36.5,-21 37 46,DN,SU,17.5, 0.082090,       ,       ,Refs
V369 Peg    ,            ,23 03 41.8,+17 17 56,DN,SU,18.2, 0.082000,       ,       ,Refs
J1013+4558  ,            ,10 13 23.6,+45 58 59,DN,SU,18.5, 0.082000,       ,       ,Refs
